periode,ihpb_nasional,ihpb_industri,ihpb_impor,ihpb_ekspor,kurs_tengah,kurs_jual,kurs_beli,year,bulan,ihpb_nasional_pct_change,ihpb_industri_pct_change,ihpb_impor_pct_change,kurs_tengah_pct_change,kurs_spread,target_ihpb_h1,target_change_pct_h1,target_direction_h1,target_ihpb_h2,target_change_pct_h2,target_direction_h2,target_ihpb_h3,target_change_pct_h3,target_direction_h3
2020-03,148.643592004027,99.81345117,103.81275981,103.39171939,15119.27,15194.86,15043.67,2020,3,0.653155119327975,0.6556063815849944,0.21127831323022317,9.887439884234684,151.1900000000005,150.94791101104218,1.5502309759527024,naik,149.4776267324959,0.5610969953190529,naik,148.25831014056493,-0.2591984345020612,stabil
2020-04,150.94791101104218,100.72294043,104.08440333,103.47456139,15782.95,15861.87,15704.04,2020,4,1.5502309759527044,0.9111890725539418,0.2616667936553796,4.3896299226086954,157.82999999999993,149.4776267324959,-0.9740342007374444,turun,148.25831014056493,-1.7818072820368476,turun,148.38264511299369,-1.6994378265101262,turun
2020-05,149.4776267324959,99.98998229,104.199312,103.37471886,14885.24,14959.67,14810.82,2020,5,-0.9740342007374392,-0.7276973218522942,0.11039950878681815,-5.687846695326293,148.85000000000036,148.25831014056493,-0.8157184580626614,turun,148.38264511299369,-0.7325388042598456,turun,148.7874250083088,-0.4617424956995734,stabil
2020-06,148.25831014056493,100.05026141,104.353673,103.54030981,14184.58,14255.5,14113.65,2020,6,-0.8157184580626642,0.06028515919243027,0.14814013359318867,-4.707078958753774,141.85000000000036,148.38264511299369,0.08386374585739743,stabil,148.7874250083088,0.35688715677535976,stabil,148.85635972815322,0.40338351828054464,stabil
2020-07,148.38264511299369,100.53453418,104.33190624,103.4526695,14516.47,14589.05,14443.89,2020,7,0.0838637458574043,0.48402948995351913,-0.02085864289607109,2.33979434005096,145.15999999999985,148.7874250083088,0.272794635118454,stabil,148.85635972815322,0.3192520357072771,stabil,148.68457652376662,0.20348162047051782,stabil
2020-08,148.7874250083088,101.06308771,104.50889196,103.37987686,14641.91,14715.12,14568.7,2020,8,0.27279463511844515,0.5257432526157402,0.16963719573270808,0.8641219249583498,146.42000000000007,148.85635972815322,0.04633101207349054,stabil,148.68457652376662,-0.06912444686533223,stabil,147.89865670650005,-0.597341006310921,turun
2020-09,148.85635972815322,100.90644416512708,104.56590828695226,103.36147840852225,14803.13,14877.15,14729.12,2020,9,0.04633101207349721,-0.15499580353453002,0.0545564361873474,1.1010858556021574,148.02999999999884,148.68457652376662,-0.11540199202796325,stabil,147.89865670650005,-0.6433739367281084,turun,147.7003057723228,-0.776623825775168,turun
2020-10,148.68457652376662,101.05775810845364,104.71154078384968,103.56655589519256,14717.47,14791.05,14643.88,2020,10,-0.11540199202796364,0.14995468780858445,0.13927340113353281,-0.5786614047164296,147.17000000000007,147.89865670650005,-0.5285819387870053,turun,147.7003057723228,-0.6619857785225616,turun,148.57767707262755,-0.0718967990079212,stabil
2020-11,147.89865670650005,101.3973181,104.91617053,104.05808115,14187.22,14258.15,14116.28,2020,11,-0.5285819387870094,0.33600586229307616,0.1954223427699464,-3.6028610895758595,141.86999999999898,147.7003057723228,-0.13411273543266647,stabil,148.57767707262755,0.45911192248013194,stabil,147.70870342319353,-0.1284347590008733,stabil
2020-12,147.7003057723228,101.45567562,105.13102211,104.61779537,14101.69,14172.2,14031.18,2020,12,-0.13411273543266766,0.05755331708323652,0.20478404702977127,-0.602866523533141,141.02000000000044,148.57767707262755,0.5940213161489388,naik,147.70870342319353,0.005685601547554384,stabil,147.90112357947493,0.13596302736278087,stabil
